unicode dec,unicode hex,character,name
19968,4E00,一,%23%28h%29%28.%29%3b{\u4e00}%23%28t%29%28t%29%26%23%28h%29%28.%29%3b{\u4e00}%23%28t%29%28t%29%26%23%28h%29%28.%29%3b{\u4e00}%23%28t%29%28t%29
19969,4E01,丁,\u2ff1\u4e00.\u4e85%26\u2ff1\u4e00\u4e85%26\u2ff1\u4e00\u4e85
19970,4E02,丂,\u2ff1\u4e00.\u31c9%26\u2ff1\u4e00\u31c9%26\u2ff1\u4e00\u31c9
19971,4E03,七,"\u2ffb\u4e5a.\u4e00.%28.%29%3b\u2ffb\u4e5aw\u4e00.%28t%29%3b\u2ffb\u4e5at\u4e00.%28t%29%26\u2ffb\u4e5a\u4e00%28.,t%29%26\u2ffb\u4e5a\u4e00%28.,t%29"
19972,4E04,丄,\u2ff1\u4e28\u4e00.%28.%29%3b\u2ff1\u4e28\u4e00t%28t%29%26\u2ff1\u4e28\u4e00%26\u2ff1\u4e28\u4e00
19973,4E05,丅,\u2ff1\u4e00.\u4e28%26\u2ff1\u4e00\u4e28%26\u2ff1\u4e00\u4e28
19974,4E06,丆,\u2ff1\u4e00.\u4e3f%26\u2ff1\u4e00\u4e3f%26\u2ff1\u4e00\u4e3f
19975,4E07,万,\u2ff1\u4e00.\u52f9%26\u2ff1\u4e00\u52f9%26\u2ff1\u4e00\u52f9
19976,4E08,丈,"\u2ffb\ud840\udc87.\u4e40.%28.%29%3b\u2ffb\ud840\udc87.\u4e40t%28k%29%3b\u2ffb\ud840\udc87.\u4e36.%28d%29%26\u2ffb\ud840\udc87\u4e40%28.,k%29%3b\u2ffb\ud840\udc87\u4e36%28d%29%26\u2ffb\ud840\udc87\u4e40%28.,k%29%3b\u2ffb\ud840\udc87\u4e36%28d%29"
19977,4E09,三,\u2ff1\u4e00.\u4e8c.\u2ff1\u4e8c.\u4e00.%26\u2ff1\u4e00\u4e8c\u2ff1\u4e8c\u4e00%26\u2ff1\u4e00\u4e8c
19978,4E0A,上,\u2ff1\u2e8a\u4e00.%28.%29%3b\u2ff1\u2e8a\u4e00t%28t%29\u2ffa\u4e04.\u4e00.%28.%29%3b\u2ffa\u4e04t\u4e00.%28t%29%26\u2ff1\u2e8a\u4e00\u2ffa\u4e04\u4e00%26\u2ff1\u2e8a\u4e00
19979,4E0B,下,\u2ff8\u4e05\u4e36.\u2ff1\u4e00.\u535c.%26\u2ff1\u4e00\u535c\u2ff8\u4e05\u4e36%26\u2ff1\u4e00\u535c
19980,4E0C,丌,\u2ff9\u4e05\u4e3f%26\u2ff9\u4e05\u4e3f%26\u2ff9\u4e05\u4e3f
19981,4E0D,不,\u2ff8\u4e06\u535c.%26\u2ff8\u4e06\u535c%26\u2ff8\u4e06\u535c
19982,4E0E,与,\u2ff9\u2ffa\u31c9\u4e00.\u4e00.%28.%29%3b\u2ffa\u2ffb[b]\u31c9\u4e00.\u4e00.%28j%29%3b\u2ff9\u2ffa\u31c9\u4e00.\u4e00t%28.t%29%3b\u2ff9\u2ffa\ud840\udcd1.\u4e00.\u4e28%28qs%29%26\u2ff9\u2ffa\u31c9\u4e00\u4e00%28.%29%3b\u2ffa\u2ffb[b]\u31c9\u4e00\u4e00%28j%29%3b\u2ff9\u2ffa\ud840\udcd1\u4e00\u4e28%28qs%29%26\u2ff9\u2ffa\u31c9\u4e00\u4e00%28.%29%3b\u2ffa\u2ffb[b]\u31c9\u4e00\u4e00%28j%29%3b\u2ff9\u2ffa\ud840\udcd1\u4e00\u4e28%28qs%29
19983,4E0F,丏,\u2ff1\u4e00.\u2ff0\u2ffa\ud840\udcca.\u4e28\ud840\udccc%26\u2ff1\u4e00\u2ff0\u2ffa\ud840\udcca\u4e28\ud840\udccc%26\u2ff1\u4e00\u2ff0\u2ffa\ud840\udcca\u4e28\ud840\udccc
